N;Код ГОПа;Наименование ГОПа
;B001;Педагогика и психология
;B002;Дошкольное обучение и воспитание
;B003;Педагогика и методика начального обучения
;B004;Подготовка учителей начальной военной подготовки
;B005;Подготовка учителей физической культуры
;B006;Подготовка учителей музыки
;B007;Подготовка учителей художественного труда и черчения
;B008;Подготовка учителей основы права и экономики
;B009;Подготовка учителей математики
;B010;Подготовка учителей физики
;B011;Подготовка учителей информатики
;B012;Подготовка учителей химии
;B013;Подготовка учителей биологии
;B014;Подготовка учителей географии
;B015;Подготовка учителей по гуманитарным предметам
;B016;Подготовка учителей казахского языка и литературы
;B017;Подготовка учителей русского языка и литературы
;B018;Подготовка учителей иностранного языка
;B019;Подготовка социальных педагогов
;B020;Специальная педагогика
;B021;Исполнительское искусство
;B023;Режиссура, арт-менеджмент
;B027;Театральное искусство
;B028;Хореография
;B029;Аудиовизуальные средства и медиа производство
;B030;Изобразительное искусство
;B031;Мода, дизайн
;B032;Философия и этика
;B033;Религия и теология
;B034;История
;B035;Тюркология
;B036;Переводческое дело
;B037;Филология
;B134;Археология и этнология
;B135;Востоковедение
;B038;Социология
;B039;Культурология
;B040;Политология
;B041;Психология
;B042;Журналистика и репортерское дело
;B043;Библиотечное дело, обработка информации и архивное дело
;B140;Международные отношения и дипломатия
;B044;Менеджмент и управление
;B045;Аудит и налогообложение
;B046;Финансы, экономика, банковское и страховое дело
;B047;Маркетинг и реклама
;B048;Трудовые навыки
;B049;Право
;B145;Государственный аудит
;B050;Биологические и смежные науки
;B051;Окружающая среда
;B052;Наука о земле
;B053;Химия
;B054;Физика
;B055;Математика и статистика
;B056;Механика
;B057;Информационные технологии
;B058;Информационная безопасность
;B059;Коммуникации и коммуникационные технологии
;B060;Химическая инженерия и процессы
;B061;Материаловедение и технологии
;B062;Электротехника и энергетика
;B063;Электротехника и автоматизация
;B064;Механика и металлообработка
;B065;Транспортная техника и технологии
;B066;Морской транспорт и технологии
;B067;Воздушный транспорт и технологии
;B068;Производство продуктов питания
;B069;Производство материалов (стекло, бумага, пластик, дерево)
;B070;Текстиль: одежда, обувь и кожаные изделия
;B071;Горное дело и добыча полезных ископаемых
;B072;Технология фармацевтического производства
;B073;Архитектура
;B074;Градостроительство, строительные работы и гражданское строительство
;B075;Кадастр и землеустройство
;B076;Стандартизация, сертификация и метрология (по отраслям)
;B126;Транспортное строительство
;B165;Магистральные сети и инфраструктура
;B166;Транспортные сооружения
;B167;Летная эксплуатация летательных аппаратов и двигателей
;B175;Водоснабжение и водоотведение
;B176;Гидротехническое строительство и управление водными ресурсами
;B077;Растениеводство
;B078;Животноводство
;B079;Лесное хозяйство
;B080;Рыбное хозяйство
;B082;Водные ресурсы и водопользования
;B183;Агроинженерия
;B083;Ветеринария
;B090;Социальная работа
;B091;Туризм
;B092;Досуг
;B093;Ресторанное дело и гостиничный бизнес
;B094;Санитарно-профилактические мероприятия
;B095;Транспортные услуги
;B098;Спорт
;B001 (AST-ALM);Педагогика и психология (AST-ALM)
;B003 (AST-ALM);Педагогика и методика начального обучения (AST-ALM)
;B004 (AST-ALM);Подготовка учителей начальной военной подготовки (AST-ALM)
;B007 (AST-ALM);Подготовка учителей художественного труда и черчения (AST-ALM)
;B009 (AST-ALM);Подготовка учителей математики (AST-ALM)
;B011 (AST-ALM);Подготовка учителей информатики (AST-ALM)
;B014 (AST-ALM);Подготовка учителей географии (AST-ALM)
;B016 (AST-ALM);Подготовка учителей казахского языка и литературы (AST-ALM)
;B020 (AST-ALM);Специальная педагогика (AST-ALM)
;B158;Криптология
