N;Грант;Код ВУЗа;Наименование ВУЗа;Сокращенное название ВУЗа
;;001;Медицинский университет Астана;МУ Астана
;;002;Казахский агротехнический исследовательский университет имени Сакена Сейфуллина;КазАТУ
;;003;Каспийский университет технологий и инжиниринга имени Ш.Есенова;КУТИЕсенова
;;004;Западно-Казахстанский медицинский университет имени М.Оспанова;ЗКГМУ
;;005;Актюбинский региональный университет имени К.Жубанова;АктРУ
;;007;Казахский национальный педагогический университет имени Абая;КазНПУ
;;008;Аркалыкский педагогический институт имени И.Алтынсарина;АркПИ
;;009;Атырауский университет нефти и газа имени Сафи Утебаева;АтырУНГ
;;010;Атырауский университет имени Халела Досмухамедова;АтырУ
;;011;Восточно-Казахстанский университет имени Сарсена Аманжолова;ВКУ
;;012;Восточно-Казахстанский технический университет имени Д.Серикбаева;ВКТУ
;;013;Евразийский национальный университет имени Л.Н. Гумилева;ЕНУ
;;015;Жетысуский университет имени Ильяса Жансугурова;ЖетУ
;;016;Западно-Казахстанский университет имени Махамбета Утемисова;ЗКУ
;;019;Академия логистики и транспорта;АЛТ
;;020;Казахская академия спорта и туризма;КазАСТ
;;021;Университет Нархоз;УнНархоз
;;022;Международная образовательная корпорация;МОК
;;023;Казахский университет международных отношений и мировых языков имени Абылай хана;КазУМОиМЯ
;;024;Казахский национальный аграрный исследовательский университет;КазНАИУ
;;025;Казахский национальный женский педагогический университет;КазНацЖенПУ
;;026;Казахский национальный медицинский университет имени С.Д. Асфендиярова;КазНМУ
;;027;Казахский национальный университет имени альФараби;КазНУ
;;029;Казахский национальный исследовательский технический университет имени К.И.Сатпаева;КазНИТУ
;;030;Медицинский университет Караганды;МУ Караганды
;;031;Карагандинский университет имени академика Е.А. Букетова;КарУ
;;032;Карагандинский технический университет имени Абылкаса Сагинова;КарТУ
;;033;Карагандинский индустриальный университет;КИУ
;;034;Кызылординский университет имени Коркыт Ата;КызУ
;;035;Кокшетауский университет имени Ш. Уалиханова;КокУ
;;036;Костанайский региональный университет имени Ахмет Байтұрсынұлы;КостРУ
;;037;Международный казахско-турецкий университет имени Ходжи Ахмеда Ясави;МКТУ
;;038;Торайгыров университет;ПГУ
;;039;Рудненский индустриальный университет;РИУ
;;040;Северо-Казахстанский университет имени Манаша Козыбаева;СКУ
;;041;Медицинский университет Семей;МУ Семей
;;042;Университет имени Шакарима города Семей;СемУ
;;043;Таразский региональный университет имени М.Х. Дулати;ТарРУ
;;044;Южно-Казахстанская медицинская академия;ЮКМА
;;045;Южно-Казахстанский университет имени М. Ауэзова;ЮКУ
;;047;Евразийский гуманитарный институт имени А.К. Кусаинова;ЕврГИ
;;049;Международный инженерно-технологический университет;МИТУ
;;053;Алматинский технологический университет;АТУ
;;057;Алматинский университет энергетики и связи имени Гумарбека Даукеева;АУЭС
;;069;Университет Международного бизнеса имени Кенжегали Сагадиева;УМБ
;;078;Казахский автомобильно-дорожный институт имени Л.Б.Гончарова (КазАДИ);КазАДИ
;;079;Каспийский общественный Университет;КОУ
;;080;Казахстанско-Российский медицинский университет;КРМУ
;;082;Казахстанско-Немецкий Университет в Алматы;КНУ
;;083;Алматы менеджмент университет;АlmaU
;;089;Q University;QUni
;;093;Университет «Туран»;Туран
;;116;Академия «Bolashaq»;«Bolashaq»
;;122;Карагандинский университет Казпотребсоюза;КарЭУ
;;140;Костанайский инженерно-экономический университет имени М. Дулатова;КИНЭУ
;;141;Alikhan Bokeikhan University;ABU
;;143;Университет имени Жумабека Ахметулы Ташенева;УЖТ
;;145;Костанайский социально-технический университет имени академика Зулхарнай Алдамжар;КосСТУ
;;146;Инновационный Евразийский университет;ИнЕУ
;;147;Екибастузский инженерно-технический институт имени академика К. Сатпаева;ЕкибИТИ
;;153;Казахстанско-Американский Свободный Университет;КАСУ
;;154;Алматинский гуманитарно-экономический университет;АГЭУ
;;157;Академия Гражданской авиации;АкГрАв
;;158;Кокшетауский университет имени Абая Мырзахметова;КокУМыр
;;160;Евразийский технологический университет;ЕТУ
;;162;Международный транспортно-гуманитарный университет;МТГУ
;;173;Esil University;EU
;;174;Университет КАЗГЮУ имени М.С.Нарикбаева;КазГЮУ
;;182;Казахский университет технологии и бизнеса им. К.Кулажанова;КазУТБ
;;184;Университет «Туран-Астана»;Туран-Аст
;;185;Международный университет Астана;МежУАст
;;190;Международный университет информационных технологий;МУИТ
;;196;Южно-Казахстанский педагогический университет имени Өзбекәлі Жәнібеков;ЮКГПУ
;;198;Западно-Казахстанский инновационно-технологический университет;ЗКИТУ
;;199;Казахстанский университет инновационных и телекоммуникационных систем;КазУИиТС
;;202;Университет дружбы народов имени академика А. Куатбекова;УДН
;;223;Международный Таразский инновационный институт имени Шерхана Муртазы;МТИИ
;;302;SDU University;SDU
;;305;Кызылординский Университет «Болашак»;Болашак
;;318;Региональный Инновационный университет;РИУ
;;416;Баишев Университет;Ун. Баишева
;;421;Казахстанско-Британский технический университет;КБТУ
;;501;Западно-Казахстанский аграрно-технический университет имени Жангир хана;ЗКАТУ
;;503;Египетский университет Исламской культуры «Нур-Мубарак»;НурМубарак
;;517;Павлодарский педагогический университет имени Әлкей Марғұлан;ПГПУ
;;522;Astana IT University;Astana IT
;;527;Академия физической культуры и массового спорта;АФКМС
;;528;Кызылординский открытый университет;КОУ
;;989;Филиал «Восход» Московского авиационного института;МАИ
